traceroute to www.ungs.edu.ar (104.27.160.200), 64 hops max
  1   192.168.0.1 (192.168.0.1)  0,004ms  0,005ms  0,004ms 
  2   *  *  * 
  3   *  *  * 
  4   *  *  * 
  7   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,003ms 
  8   192.168.0.1 (192.168.0.1)  0,002ms  0,004ms  0,003ms 
  9   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,003ms 
 10   192.168.0.1 (192.168.0.1)  0,002ms  0,004ms  0,002ms 
 11   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,003ms 
 12   192.168.0.1 (192.168.0.1)  0,002ms  0,004ms  0,002ms 
 13   192.168.0.1 (192.168.0.1)  0,003ms  0,004ms  5,194ms 
 14   192.168.0.1 (192.168.0.1)  0,002ms  0,004ms  2,645ms 
 15   192.168.0.1 (192.168.0.1)  0,003ms  0,004ms  2,184ms 
 16   192.168.0.1 (192.168.0.1)  0,004ms  0,003ms  0,002ms 
 17   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 18   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 19   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 20   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 21   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,003ms 
 22   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 23   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 24   192.168.0.1 (192.168.0.1)  0,003ms  0,003ms  0,003ms 
 25   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 26   192.168.0.1 (192.168.0.1)  0,003ms  0,002ms  0,002ms 
 27   192.168.0.1 (192.168.0.1)  0,002ms  0,004ms  0,003ms 
 28   192.168.0.1 (192.168.0.1)  0,004ms  0,003ms  0,003ms 
 29   192.168.0.1 (192.168.0.1)  0,002ms  0,004ms  0,002ms 
 30   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,003ms 
 31   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 32   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 33   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 34   192.168.0.1 (192.168.0.1)  0,003ms  0,003ms  0,002ms 
 35   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,003ms 
 36   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 37   192.168.0.1 (192.168.0.1)  0,003ms  0,003ms  0,002ms 
 38   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 39   192.168.0.1 (192.168.0.1)  0,002ms  0,004ms  0,003ms 
 40   192.168.0.1 (192.168.0.1)  0,003ms  0,003ms  0,003ms 
 41   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 42   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 43   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 44   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 45   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,003ms 
 46   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 47   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 48   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,003ms 
 49   192.168.0.1 (192.168.0.1)  0,003ms  0,002ms  0,003ms 
 50   192.168.0.1 (192.168.0.1)  0,002ms  0,004ms  0,002ms 
 51   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,003ms 
 52   192.168.0.1 (192.168.0.1)  0,003ms  0,002ms  0,002ms 
 53   192.168.0.1 (192.168.0.1)  0,003ms  0,003ms  0,002ms 
 54   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 55   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 56   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 57   192.168.0.1 (192.168.0.1)  0,003ms  0,003ms  0,002ms 
 58   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 59   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 60   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 61   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,003ms 
 62   192.168.0.1 (192.168.0.1)  0,003ms  0,002ms  0,002ms 
 63   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 64   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 


traceroute to www.lb.pku.edu.cn (162.105.131.196), 64 hops max
  1   192.168.0.1 (192.168.0.1)  0,006ms  0,003ms  0,002ms 
  2   192.168.0.1 (192.168.0.1)  0,002ms  0,004ms  0,003ms 
  3   192.168.0.1 (192.168.0.1)  0,005ms  0,003ms  0,002ms 
  4   192.168.0.1 (192.168.0.1)  3,451ms  0,003ms  0,003ms 
  5   192.168.0.1 (192.168.0.1)  0,003ms  0,004ms  2,205ms 
  6   192.168.0.1 (192.168.0.1)  0,002ms  0,004ms  0,003ms 
  7   192.168.0.1 (192.168.0.1)  0,002ms  0,004ms  0,002ms 
  8   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,003ms 
  9   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 10   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 11   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 12   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 13   192.168.0.1 (192.168.0.1)  0,002ms  0,004ms  0,002ms 
 14   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,003ms 
 15   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 16   192.168.0.1 (192.168.0.1)  0,003ms  0,003ms  0,002ms 
 17   192.168.0.1 (192.168.0.1)  0,003ms  0,003ms  0,002ms 
 18   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,003ms 
 19   192.168.0.1 (192.168.0.1)  0,003ms  0,002ms  0,002ms 
 20   192.168.0.1 (192.168.0.1)  0,002ms  0,004ms  0,002ms 
 21   192.168.0.1 (192.168.0.1)  0,011ms  0,002ms  0,003ms 
 22   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 23   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 24   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 25   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 26   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 27   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 28   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 29   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 30   192.168.0.1 (192.168.0.1)  0,003ms  0,003ms  0,002ms 
 31   192.168.0.1 (192.168.0.1)  0,003ms  0,003ms  0,003ms 
 32   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 33   192.168.0.1 (192.168.0.1)  0,002ms  0,004ms  0,003ms 
 34   192.168.0.1 (192.168.0.1)  0,128ms  0,003ms  0,003ms 
 35   192.168.0.1 (192.168.0.1)  0,003ms  0,003ms  0,002ms 
 36   192.168.0.1 (192.168.0.1)  0,006ms  0,003ms  0,002ms 
 37   192.168.0.1 (192.168.0.1)  0,003ms  0,003ms  0,002ms 
 38   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 39   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 40   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 41   192.168.0.1 (192.168.0.1)  1,953ms  0,003ms  0,003ms 
